"","Year","mean","2.5%","97.5%"
"phi[1]",2001,0.874756838818683,0.752703550580223,0.965405561194516
"phi[2]",2002,0.605849570583558,0.479864115112484,0.72452249329282
"phi[3]",2003,0.682594904497738,0.556568619794176,0.797059273868631
"phi[4]",2004,0.695267768180826,0.568112832515342,0.806333573122757
"phi[5]",2005,0.62058837628387,0.470840923160574,0.762362807313803
"phi[6]",2006,0.867733590396391,0.752666649285531,0.952866377203125
"phi[7]",2007,0.81731473818904,0.713366132519994,0.903775482395797
"phi[8]",2008,0.745059879049799,0.619614164265995,0.856376975768436
"phi[9]",2009,0.477691357259875,0.332074339493239,0.626063479808367
"phi[10]",2010,0.953947213500291,0.836065378196936,0.998883518989903
"phi[11]",2011,0.954545190769494,0.839167495404787,0.998645245294282
"phi[12]",2012,0.793715071295805,0.673488453328702,0.893436328329932
"phi[13]",2013,0.878782609565712,0.783619807871274,0.952240298502819
"phi[14]",2014,0.89087079626069,0.816949871703342,0.949435025478706
"phi[15]",2015,0.886803683795032,0.812817173242106,0.945354042848251
"phi[16]",2016,0.750864784763696,0.654135187919951,0.837889965504469
"phi[17]",2017,0.824820938367893,0.740342861535074,0.894441449954718
"phi[18]",2018,0.871091199847938,0.795936613009464,0.93307637969187
"phi[19]",2019,0.665817729936638,0.568364828772987,0.760466481812556
"phi[20]",2020,0.629631319837293,0.52213376335048,0.737253405886874
"phi[21]",2021,0.696153178994418,0.577312620607033,0.804085313309643
"phi[22]",2022,0.782032857753651,0.674625614988803,0.874159064003526
"phi[23]",2023,0.836949094750041,0.715605018029691,0.931297588096575
"phi[24]",2024,0.497342744105455,0.372632651848238,0.627189144544997
"phi[25]",2025,0.169242777520439,0.056366972763988,0.318612990426446
